"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"17","-","-","0","1","","v India","Cardiff","20 Jun 2013"
"17","-","-","0","0","","v West Indies","Kingston","28 Jun 2013"
"DNB","-","-","1","1","","v India","Kingston","2 Jul 2013"
"90*","-","-","1","0","","v West Indies","Port of Spain","7 Jul 2013"
"0","-","-","0","0","","v India","Port of Spain","9 Jul 2013"
"71","-","-","3","0","","v India","Port of Spain","11 Jul 2013"
"169","-","-","2","1","","v South Africa","Colombo (RPS)","20 Jul 2013"
"37","-","-","2","0","","v South Africa","Colombo (RPS)","23 Jul 2013"
"0","-","-","3","0","","v South Africa","Pallekele","26 Jul 2013"
"91","-","-","2","1","","v South Africa","Pallekele","28 Jul 2013"
"75*","-","-","2","0","","v South Africa","Colombo (RPS)","31 Jul 2013"
"79","-","-","0","0","","v New Zealand","Hambantota","10 Nov 2013"
"71*","-","-","2","1","","v New Zealand","Hambantota","12 Nov 2013"
"0","-","-","0","1","","v New Zealand","Dambulla","16 Nov 2013"
"23","-","-","0","0","","v Pakistan","Sharjah","18 Dec 2013"
"58","-","-","0","0","","v Pakistan","Dubai (DSC)","20 Dec 2013"
"14","-","-","0","0","","v Pakistan","Sharjah","22 Dec 2013"
"51","-","-","0","0","","v Pakistan","Abu Dhabi","25 Dec 2013"
"22","-","-","1","0","","v Pakistan","Abu Dhabi","27 Dec 2013"
"8","-","-","2","0","","v Bangladesh","Dhaka","17 Feb 2014"
"128","-","-","2","0","","v Bangladesh","Dhaka","20 Feb 2014"
"67","-","-","1","0","","v Pakistan","Fatullah","25 Feb 2014"
"103","-","-","0","1","","v India","Fatullah","28 Feb 2014"
"76","-","-","1","0","","v Afghanistan","Dhaka","3 Mar 2014"
"2","-","-","0","0","","v Bangladesh","Dhaka","6 Mar 2014"
"0","-","-","2","0","","v Pakistan","Dhaka","8 Mar 2014"
"8","-","-","1","0","","v England","The Oval","22 May 2014"
"40","-","-","2","0","","v England","Chester-le-Street","25 May 2014"
"13","-","-","0","0","","v England","Manchester","28 May 2014"
"112","-","-","1","1","","v England","Lord's","31 May 2014"
"2","-","-","2","0","","v England","Birmingham","3 Jun 2014"
"88","-","-","0","0","","v South Africa","Colombo (RPS)","6 Jul 2014"
"7","-","-","3","0","","v South Africa","Pallekele","9 Jul 2014"
"36","-","-","0","0","","v South Africa","Hambantota","12 Jul 2014"
"25","-","-","1","0","","v Pakistan","Hambantota","23 Aug 2014"
"11","-","-","2","0","","v Pakistan","Hambantota","26 Aug 2014"
"2","-","-","2","0","","v Pakistan","Dambulla","30 Aug 2014"
"13","-","-","0","0","","v India","Cuttack","2 Nov 2014"
"61","-","-","0","0","","v India","Ahmedabad","6 Nov 2014"
"0","-","-","1","0","","v India","Hyderabad (Deccan)","9 Nov 2014"
"2","-","-","1","2","","v England","Colombo (RPS)","26 Nov 2014"
"67*","-","-","0","1","","v England","Colombo (RPS)","29 Nov 2014"
"63","-","-","2","0","","v England","Hambantota","3 Dec 2014"
"86","-","-","2","0","","v England","Colombo (RPS)","7 Dec 2014"
"91","-","-","0","0","","v England","Pallekele","10 Dec 2014"
"112","-","-","4","0","","v England","Pallekele","13 Dec 2014"
"33","-","-","1","1","","v England","Colombo (RPS)","16 Dec 2014"
"4","-","-","0","2","","v New Zealand","Christchurch","11 Jan 2015"
"38","-","-","1","1","","v New Zealand","Hamilton","15 Jan 2015"
"TDNB","-","-","0","0","","v New Zealand","Auckland","17 Jan 2015"
"76","-","-","2","0","","v New Zealand","Nelson","20 Jan 2015"
"9","-","-","2","0","","v New Zealand","Dunedin","23 Jan 2015"
"81","-","-","1","0","","v New Zealand","Dunedin","25 Jan 2015"
"113*","-","-","2","0","","v New Zealand","Wellington","29 Jan 2015"
"39","-","-","1","1","","v New Zealand","Christchurch","14 Feb 2015"
