"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"48*","-","-","1","0","","v West Indies","Colombo (SSC)","3 Feb 2011"
"44","-","-","1","0","","v West Indies","Colombo (SSC)","6 Feb 2011"
"100","-","-","1","0","","v Canada","Hambantota","20 Feb 2011"
"2","-","-","1","0","","v Pakistan","Colombo (RPS)","26 Feb 2011"
"DNB","-","-","0","0","","v Kenya","Colombo (RPS)","1 Mar 2011"
"23","-","-","-","-","","v Australia","Colombo (RPS)","5 Mar 2011"
"9","-","-","2","0","","v Zimbabwe","Pallekele","10 Mar 2011"
"66","-","-","2","0","","v New Zealand","Mumbai","18 Mar 2011"
"DNB","-","-","1","0","","v England","Colombo (RPS)","26 Mar 2011"
"1","-","-","1","0","","v New Zealand","Colombo (RPS)","29 Mar 2011"
"103*","-","-","0","0","","v India","Mumbai","2 Apr 2011"
"5","-","-","0","0","","v England","The Oval","28 Jun 2011"
"144","-","-","0","0","","v England","Leeds","1 Jul 2011"
"79","-","-","0","0","","v England","Lord's","3 Jul 2011"
"9","-","-","0","0","","v England","Nottingham","6 Jul 2011"
"9","-","-","0","0","","v England","Manchester","9 Jul 2011"
"64","-","-","1","0","","v Scotland","Edinburgh","13 Jul 2011"
"3","-","-","1","0","","v Australia","Pallekele","10 Aug 2011"
"17","-","-","0","0","","v Australia","Hambantota","14 Aug 2011"
"36","-","-","2","0","","v Australia","Hambantota","16 Aug 2011"
"53","-","-","0","0","","v Australia","Colombo (RPS)","20 Aug 2011"
"71","-","-","1","0","","v Australia","Colombo (RPS)","22 Aug 2011"
"24","-","-","0","0","","v Pakistan","Dubai (DSC)","11 Nov 2011"
"50","-","-","0","0","","v Pakistan","Dubai (DSC)","14 Nov 2011"
"17","-","-","1","0","","v Pakistan","Dubai (DSC)","18 Nov 2011"
"55","-","-","0","0","","v Pakistan","Sharjah","20 Nov 2011"
"2","-","-","0","0","","v South Africa","Paarl","11 Jan 2012"
"19","-","-","0","0","","v South Africa","East London","14 Jan 2012"
"15","-","-","0","0","","v South Africa","Bloemfontein","17 Jan 2012"
"23","-","-","0","0","","v India","Perth","8 Feb 2012"
"13","-","-","1","0","","v Australia","Perth","10 Feb 2012"
"43","-","-","1","0","","v India","Adelaide","14 Feb 2012"
"61*","-","-","0","0","","v Australia","Sydney","17 Feb 2012"
"45","-","-","0","0","","v India","Brisbane","21 Feb 2012"
"85","-","-","1","0","","v Australia","Hobart","24 Feb 2012"
"22","-","-","0","0","","v India","Hobart","28 Feb 2012"
"5","-","-","0","0","","v Australia","Melbourne","2 Mar 2012"
"14","-","-","1","0","","v Australia","Brisbane","4 Mar 2012"
"80","-","-","0","0","","v Australia","Adelaide","6 Mar 2012"
"15","-","-","1","0","","v Australia","Adelaide","8 Mar 2012"
"78","-","-","1","0","","v India","Dhaka","13 Mar 2012"
"12","-","-","0","0","","v Pakistan","Dhaka","15 Mar 2012"
"5","-","-","0","0","","v Bangladesh","Dhaka","20 Mar 2012"
"3","-","-","0","0","","v Pakistan","Pallekele","7 Jun 2012"
"53","-","-","0","0","","v Pakistan","Pallekele","9 Jun 2012"
