"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"1","0","20","0","0","","v Zimbabwe","Cuttack","9 Apr 1998"
"100","0","19","0","0","","v Australia","Kanpur","7 Apr 1998"
"5","1","36","0","0","","v Zimbabwe","Vadodara","5 Apr 1998"
"8","5","32","1","0","","v Australia","Kochi","1 Apr 1998"
"41","1","49","0","0","","v Pakistan","Dhaka","18 Jan 1998"
"1","0","17","0","0","","v Pakistan","Dhaka","16 Jan 1998"
"95","3","45","0","0","","v Pakistan","Dhaka","14 Jan 1998"
"67","1","24","4","0","","v Pakistan","Dhaka","11 Jan 1998"
"54","0","13","2","0","","v Bangladesh","Dhaka","10 Jan 1998"
"6","0","7","0","0","","v Sri Lanka","Margao","28 Dec 1997"
"TDNB","-","-","0","0","","v Sri Lanka","Indore","25 Dec 1997"
"82*","-","-","0","0","","v Sri Lanka","Guwahati","22 Dec 1997"
"1","0","17","0","0","","v West Indies","Sharjah","16 Dec 1997"
"3","-","-","0","0","","v Pakistan","Sharjah","14 Dec 1997"
"91","0","24","1","0","","v England","Sharjah","11 Dec 1997"
"7","-","-","1","0","","v Pakistan","Lahore","2 Oct 1997"
"21","0","7","0","0","","v Pakistan","Karachi","30 Sep 1997"
"2","0","11","2","0","","v Pakistan","Hyderabad (Sind)","28 Sep 1997"
"51","-","-","2","0","","v Pakistan","Toronto","21 Sep 1997"
"6","-","-","1","0","","v Pakistan","Toronto","20 Sep 1997"
"0","-","-","2","0","","v Pakistan","Toronto","18 Sep 1997"
"TDNB","0","17","0","0","","v Pakistan","Toronto","17 Sep 1997"
"25*","-","-","0","0","","v Pakistan","Toronto","14 Sep 1997"
"17","0","13","0","0","","v Pakistan","Toronto","13 Sep 1997"
"39","1","22","2","0","","v Sri Lanka","Colombo (SSC)","24 Aug 1997"
"27","-","-","0","0","","v Sri Lanka","Colombo (SSC)","23 Aug 1997"
"6","-","-","1","0","","v Sri Lanka","Colombo (RPS)","20 Aug 1997"
"27","0","28","0","0","","v Sri Lanka","Colombo (RPS)","17 Aug 1997"
"53","0","20","0","0","","v Sri Lanka","Colombo (RPS)","26 Jul 1997"
"28","1","18","0","0","","v Bangladesh","Colombo (SSC)","24 Jul 1997"
"TDNB","-","-","0","0","","v Pakistan","Colombo (SSC)","20 Jul 1997"
"21","0","6","0","0","","v Sri Lanka","Colombo (RPS)","18 Jul 1997"
"4","2","61","0","0","","v Pakistan","Chennai","21 May 1997"
"2","0","13","1","0","","v Sri Lanka","Mumbai","17 May 1997"
"117","0","35","0","0","","v New Zealand","Bengaluru","14 May 1997"
"1","0","22","0","0","","v West Indies","Bridgetown","3 May 1997"
